phase,iteration,velocity_difference,pressure_difference,combined_difference,DDPNM_interfaces,DDPNMT_interfaces,HODDPNM_interfaces,interface_unknowns,marked_interfaces
DDPNM_to_DDPNMT,0,0.028568718072182874,0.006524762184414569,0.028568718072182874,144,0,0,144,123 17 139 7 131 134 125 57 138 127 137 22
DDPNM_to_DDPNMT,1,0.025431269914525562,0.00637611292021314,0.025431269914525562,132,12,0,168,87 47 11 68 79 4 97 42 29 109 106 50
DDPNM_to_DDPNMT,2,0.022821913314156037,0.00590056162502399,0.022821913314156037,120,24,0,192,44 108 91 62 51 69 74 119 2 84 102 66
DDPNM_to_DDPNMT,3,0.020857389981199237,0.005451057397156675,0.020857389981199237,108,36,0,216,39 114 26 90 10 34 82 28 61 76 48 112
DDPNM_to_DDPNMT,4,0.016180216752263887,0.004260848041721639,0.016180216752263887,96,48,0,240,116 8 21 118 5 88 101 72 45 32 36 24
DDPNM_to_DDPNMT,5,0.01071001055317621,0.0028064784861703412,0.01071001055317621,84,60,0,264,78 85 13 38 104 64 53 93 92 1 52
DDPNM_to_DDPNMT,6,0.00544690582836871,0.0006463383669714921,0.00544690582836871,73,71,0,286,
DDPNMT_to_HODDPNM,0,0.2038545344789937,0.03502537764909775,0.2038545344789937,73,71,0,286,76 45 48 61 78 72 53 64 88 116 32 96
DDPNMT_to_HODDPNM,1,0.19664370062124753,0.034842850964770765,0.19664370062124753,72,61,11,354,67 56 59 70 42 96 107 85 50 21 74 118
DDPNMT_to_HODDPNM,2,0.1915640219520442,0.03492211784781391,0.1915640219520442,67,59,18,406,67 59 56 70 107 99 93 112 110 104 101 38
DDPNMT_to_HODDPNM,3,0.18065437998116607,0.03512049394559477,0.18065437998116607,65,51,28,470,99 110 79 82 36 8 114 81 113 111 46 117
DDPNMT_to_HODDPNM,4,0.17443067416468172,0.03517668140768648,0.17443067416468172,60,49,35,522,119 90 5 86 81 111 46 89 113 117 40 41
DDPNMT_to_HODDPNM,5,0.16713346405829219,0.034270907816177414,0.16713346405829219,56,45,43,578,63 40 89 80 75 83 24 60 52 49 103 115
DDPNMT_to_HODDPNM,6,0.16330823787787696,0.03331690982277701,0.16330823787787696,48,49,47,618,63 75 83 60 103 115 100 43 19 16 27 34
DDPNMT_to_HODDPNM,7,0.15628789567221066,0.03158037116694943,0.15628789567221066,43,47,54,670,19 16 27 77 39 71 86 30 80 41 13 49
DDPNMT_to_HODDPNM,8,0.14496353376370075,0.029745358276131346,0.14496353376370075,40,41,63,730,30 77 71 73 100 43 92 69 91 47 68 97
DDPNMT_to_HODDPNM,9,0.13326216028972682,0.02642129184536016,0.13326216028972682,39,31,74,798,73 66 33 62 106 105 102 55 54 94 84 44
DDPNMT_to_HODDPNM,10,0.12727400359937865,0.02435887921596465,0.12727400359937865,34,29,81,850,105 54 55 94 58 95 98 17 65 108 125 51
DDPNMT_to_HODDPNM,11,0.12133644862668311,0.02222726322149051,0.12133644862668311,30,25,89,906,58 139 120 98 121 1 135 33 31 6 37 126
DDPNMT_to_HODDPNM,12,0.11596994457985657,0.021027590476982647,0.11596994457985657,23,27,94,950,120 121 135 31 6 37 126 123 29 141 140 134
DDPNMT_to_HODDPNM,13,0.10057722226659035,0.018212869527708335,0.10057722226659035,21,19,104,1014,140 87 57 4 109 95 65 22 138 143 137 11
DDPNMT_to_HODDPNM,14,0.08570384501017002,0.014737557222612685,0.08570384501017002,20,9,115,1082,26 131 127 7 128 133 28 35 20 124 9 3
DDPNMT_to_HODDPNM,15,0.0792213304985868,0.013791053273603963,0.0792213304985868,13,11,120,1126,124 9 141 23 133 143 128 142 0 122 35 12
DDPNMT_to_HODDPNM,16,0.06266662107284297,0.010351461769497498,0.06266662107284297,8,9,127,1178,23 142 0 122 12 20 3 129 15 136
DDPNMT_to_HODDPNM,17,0.03719266141963325,0.005559258923261459,0.03719266141963325,5,5,134,1226,15 132 129 25 14 136
DDPNMT_to_HODDPNM,18,0.02934472952172909,0.004375064554716794,0.02934472952172909,2,5,137,1250,18 25 14
DDPNMT_to_HODDPNM,19,0.02225215591850035,0.0033330851806266425,0.02225215591850035,1,4,139,1264,130 132
DDPNMT_to_HODDPNM,20,0.017540920079885503,0.0027264224340835075,0.017540920079885503,0,4,140,1272,130 18
DDPNMT_to_HODDPNM,21,0.002119734164461794,0.0005155562332459672,0.002119734164461794,0,2,142,1284,
