interface_id,pore_i,pore_j,traction_pressure,flux_balance_residual
0,0,1,0.7135274023000852,9.784924606681678e-18
1,0,4,0.8004630540687386,3.2802536728548937e-16
2,0,8,0.8969599470343088,-1.8431436932253575e-18
3,0,11,0.881551474961515,-7.94178091345632e-17
4,1,2,0.647731424813354,3.2932640989247197e-18
5,1,5,0.6286913486224962,-8.890457814381136e-18
6,1,10,0.5619072179582925,-4.0007060164715114e-17
7,1,13,0.45887727821152585,5.692061405548898e-18
8,2,4,0.7642273490263579,-2.0244765065735582e-16
9,2,6,0.7390146572106144,1.620882247865829e-17
10,2,14,0.6600506359763063,9.31058615621927e-18
11,3,5,0.8225019176416664,-1.919037845299343e-17
12,3,11,0.9348117303156257,1.5178830414797062e-18
13,3,17,0.8488735992851412,-1.3877787807814457e-17
14,4,9,0.8023944451123779,-2.4109945810646405e-17
15,5,17,0.732080542208488,2.5573618743501836e-17
16,6,7,0.5720035546905787,-1.4270811095340452e-17
17,6,9,0.7781340974972766,-6.572975670693371e-18
18,7,13,0.009756782836796056,3.0323779511703952e-18
19,7,14,0.465064237827586,2.6203811256259035e-17
20,8,9,0.8311905531909035,2.520770051028798e-18
21,10,15,0.25269547948755544,3.821812658011403e-18
22,10,16,0.39114367481038326,-3.1008182133085427e-17
23,12,15,0.012265434111889881,-1.768604793866979e-18
24,12,16,0.08807492140274098,2.7647155398380363e-18
25,13,14,0.3577523948652411,1.883801274693564e-18
26,13,15,0.1888999764213546,-6.369687763352339e-19
