interface_id,pore_i,pore_j,traction_pressure,flux_balance_residual
0,0,1,0.7093190307670403,-8.836247705756861e-18
1,0,3,0.8757785231480708,-1.6046192152785466e-17
2,0,4,0.7770623044394085,5.941427905220564e-17
3,0,8,0.9445510980544465,-4.824699667560495e-18
4,1,2,0.5676127811333306,1.1926223897340549e-18
5,1,5,0.6205163348845417,1.1600963245594897e-17
6,1,7,0.22233002426692264,3.2255014631443757e-18
7,2,4,0.7373227353497647,-4.710858439449517e-17
8,2,6,0.7089949991799198,2.6542624435160755e-17
9,2,7,0.4825193125184205,-1.3552527156068805e-17
10,3,5,0.7879543216001357,-1.4203048459560108e-17
11,4,9,0.7695690564241845,5.929230630780102e-18
12,6,7,0.5774333574837153,6.816921159502609e-18
13,6,9,0.7302358798415733,2.053207864144424e-18
14,8,9,0.8020732119538694,-1.0164395367051604e-17
