phase,iteration,velocity_difference,pressure_difference,combined_difference,ddpnm_interfaces,ddpnmt_interfaces,hoddpnm_interfaces,marked_interfaces
DDPNM_to_DDPNMT,0,0.03123003200927823,0.0023059719242334324,0.03123003200927823,35,0,0,18 6 25
DDPNM_to_DDPNMT,1,0.016824591778882708,0.001528961717969305,0.016824591778882708,32,3,0,10 29 15
DDPNM_to_DDPNMT,2,0.011287161478553725,0.0010996928108492092,0.011287161478553725,29,6,0,17 7 34
DDPNM_to_DDPNMT,3,0.007593011369526093,0.0008889754715272719,0.007593011369526093,26,9,0,
DDPNMT_to_HODDPNM,0,0.04873109445362335,0.0035499400582761275,0.04873109445362335,26,9,0,14 15 18
DDPNMT_to_HODDPNM,1,0.03447544500119902,0.0032915907786478854,0.03447544500119902,25,8,2,14 7 24
DDPNMT_to_HODDPNM,2,0.023035530710916463,0.002517421742474257,0.023035530710916463,24,7,4,24 6 17
DDPNMT_to_HODDPNM,3,0.01821513636641622,0.002197479626269707,0.01821513636641622,24,4,7,8 32 12
DDPNMT_to_HODDPNM,4,0.017777915849624435,0.0021701337653248676,0.017777915849624435,21,7,7,8 12 32
DDPNMT_to_HODDPNM,5,0.013422118495609998,0.0019461165720130458,0.013422118495609998,21,4,10,20 10 16
DDPNMT_to_HODDPNM,6,0.011823124959416792,0.0018481910505733568,0.011823124959416792,19,5,11,20 29 9
DDPNMT_to_HODDPNM,7,0.009730354615942086,0.0015970623327392858,0.009730354615942086,18,4,13,
