case,velocity_interface_thickness,pressure_interface_thickness,min_pressure_boundary_dofs,preconditioner,mixed_dofs,active_boundary_dofs,pressure_boundary_dofs,pressure_interior_eliminated,iterations,schur_matvecs,schur_relative_residual,fem_time_s,hoddpnm_time_s,speedup_vs_fem,velocity_l2_rel,velocity_h1_rel,pressure_l2_rel,inlet_flux_rel_error,outlet_flux_rel_error,pressure_drop_rel_error,permeability_like_rel_error,hodd_continuity_l2
01_correctness_validation/real_3d_berea_16_r6_exact_schur,1.05,1.05,0,exact_schur_lu_validation,42532,3976,274,1830,4,7,1.3926076030984447e-15,8.12285470000279,24.721155100000033,0.32857909216397335,1.2920424182737967e-09,3.3619849063730994e-09,1.3842492588305805e-14,0.0,9.48727780077989e-13,3.759093177001303e-16,3.334426595150467e-13,2.0271118177268804e-12
02_efficiency_trials/aggressive_t025_none_scaled,0.25,0.25,0,none,42532,405,0,2104,27,29,7.927447568817351e-11,9.022354100001394,2.385386899997684,3.7823441136572664,2.3437297227903722e-11,3.966055612791993e-11,1.3061831213753828e-14,0.0,3.4101607245200306e-12,3.759093177001303e-16,1.2002479661059082e-12,3.2413993192844287e-12
02_efficiency_trials/balanced_sweep/t0p25_p0p25_min50_none_scaled,0.25,0.25,50,none,42532,455,50,2054,153,156,2.1045598649750372e-06,8.19202459999724,3.396959400000924,2.4115756579236747,6.311402149928859e-07,7.260158884456567e-07,7.215890400017618e-15,0.0,1.0275751047189943e-07,5.638639765501955e-16,3.618084299889915e-08,2.168244092526694e-12
02_efficiency_trials/balanced_sweep/t0p30_p075_min50_none_scaled,0.3,0.75,50,none,42532,679,274,1830,701,711,0.008676479853033494,9.134003800001665,13.77764059999754,0.662958489424038,0.0002245558648183541,0.0004928761362924085,5.308396516238276e-12,0.0,1.1184857279841803e-05,1.849097933766941e-12,3.93818172624796e-06,1.1250367135010417e-06
02_efficiency_trials/balanced_sweep/t0p30_p0p30_min100_none_scaled,0.3,0.3,100,none,42532,505,100,2004,1842,1867,2.0617665307219455e-06,7.947787900000549,29.27394809999896,0.27149695944158725,4.5136025754394764e-07,5.938514399737371e-07,1.2845357928233029e-14,0.0,5.449414948585234e-09,3.0072745416010425e-15,1.918732007810398e-09,5.931356915127081e-10
02_efficiency_trials/balanced_sweep/t0p30_p0p30_min200_none_scaled,0.3,0.3,200,none,42532,605,200,1904,1804,1828,0.004916627528637626,7.893109800003003,31.522985000003246,0.2503922074639248,0.0002726494139726396,0.0005253487546368437,5.980517251585893e-12,0.0,7.739094064401172e-06,2.035548955346206e-12,2.7249312633758446e-06,5.821092294404089e-07
02_efficiency_trials/balanced_sweep/t0p30_p0p30_min50_none_scaled,0.3,0.3,50,none,42532,455,50,2054,153,156,2.1045598649750372e-06,7.932885799997166,3.467280500000925,2.2879273251746,6.311402149928859e-07,7.260158884456567e-07,7.215890400017618e-15,0.0,1.0275751047189943e-07,5.638639765501955e-16,3.618084299889915e-08,2.168244092526694e-12
02_efficiency_trials/balanced_sweep/t0p30_p0p30_min55_none_scaled,0.3,0.3,55,none,42532,460,55,2049,237,241,1.5168779528312988e-06,8.171906699997635,5.249056000000564,1.5568335906488244,5.424036904345305e-07,5.63099445941769e-07,2.355556498575596e-14,0.0,1.7447995382994607e-07,5.82659442435202e-15,6.143426696933798e-08,2.2608118555859993e-12
02_efficiency_trials/balanced_sweep/t0p30_p0p30_min60_none_scaled,0.3,0.3,60,none,42532,465,60,2044,395,401,1.690594465922478e-06,7.958458599998266,7.205530199997156,1.1044931294579,5.70868263687008e-07,6.135162641350687e-07,1.4215413775402137e-14,0.0,1.5290313929371604e-07,3.0072745416010425e-15,5.383707781797899e-08,1.2974576507275474e-09
02_efficiency_trials/balanced_sweep/t0p35_p075_min50_none_scaled,0.35,0.75,50,none,42532,679,274,1830,701,711,0.008676479853033494,8.491491699998733,22.81248830000186,0.37222996405867925,0.0002245558648183541,0.0004928761362924085,5.308396516238276e-12,0.0,1.1184857279841803e-05,1.849097933766941e-12,3.93818172624796e-06,1.1250367135010417e-06
