arm,steps,converged,wall_seconds,flow_offline_seconds,flow_seconds,transport_seconds,flow_solves,newton_iterations,sfi_iterations,outlet_flux,mass,free_energy,phi_min,phi_max,flow_global_unknowns,max_flow_linear_residual,flow_stabilization,phi_l2_error_vs_fem,velocity_l2_error_vs_fem,geometry,dt,method,coupling,worst_phi_min,total_with_flow_offline_seconds,online_wall_speedup_vs_fem,online_flow_speedup_vs_fem,outlet_flux_relative_error_vs_fem
FEM-frozen,6,True,28.672896999982186,0.5875727999955416,13.944486299995333,14.69115669990424,1,12,0,0.0015062177079159314,-0.8501018483066439,0.004485584864536962,-1.3351181054455807,1.0,140988,3.7245031159309204e-07,none,0.0,0.0,random27,1.0,FEM,frozen,-1.3513506455821225,29.260469799977727,1.0,1.0,0.0
FEM-SFI,6,True,305.6320682000369,0.5875727999955416,273.86978029983584,31.179153900011443,20,26,20,0.001522493618690853,-0.85002996479712,0.004483240751224377,-1.3351036130410165,1.0,140988,8.512294749845506e-07,none,0.0,0.0,random27,1.0,FEM,SFI,-1.3514065488375826,306.2196410000324,1.0,1.0,0.0
Classic-frozen,6,True,14.183862900012173,32.49221260007471,0.27764820004813373,13.887230099877343,1,12,0,0.0026367037405743195,-0.8433394750951319,0.004320224227775496,-1.3271465988637037,1.0,114,3.8941866817097084e-16,none,0.03700176818370278,0.5875479094905813,random27,1.0,Classic,frozen,-1.3508596165153306,46.67607550008688,2.02151537998563,50.22357896639663,0.7505462369198792
Classic-SFI,6,True,41.89589889999479,32.49221260007471,6.37456780008506,35.417390500195324,24,30,24,0.0026767754840765073,-0.843148088099962,0.004316253333717643,-1.3271052379907615,1.0,114,1.0246822792479267e-15,none,0.037711500611524305,0.5947995039730892,random27,1.0,Classic,SFI,-1.350874647189831,74.3881115000695,7.295035462291391,42.962878251319474,0.7581521861340783
Affine-frozen,6,True,14.553138599963859,50.971018499927595,0.5074033999117091,14.035169400041923,1,12,0,0.0015486302312321743,-0.8497553934659425,0.004475436686794808,-1.3340546793138537,1.0,1026,4.526949240589248e-15,none,0.0020531896890859905,0.05553369410128783,random27,1.0,Affine,frozen,-1.3513575188447686,65.52415709989145,1.9702208429495334,27.482051366667523,0.028158295506249598
Affine-SFI,6,True,40.437632900080644,50.971018499927595,9.705852699582465,30.59116120019462,20,26,20,0.0015657604754981832,-0.8496749583783225,0.004472905994428932,-1.3340344023505901,1.0,1026,5.375470432049269e-15,none,0.002113270983070808,0.05586164548694148,random27,1.0,Affine,SFI,-1.3514205585873795,91.40865140000824,7.5581097675830415,28.216972663475246,0.028418415864714053
FEM-frozen,12,True,42.51480250002351,0.6138141999254003,13.591279299929738,28.884169499971904,1,24,0,0.0015062177079159314,-0.8498745766820849,0.004502168311919698,-1.3435458534742126,1.0,140988,3.7245031159309204e-07,none,0.0,0.0,random27,0.5,FEM,frozen,-1.413214237337268,43.12861669994891,1.0,1.0,0.0
FEM-SFI,12,True,405.11686549999285,0.6138141999254003,359.348990199971,45.09333660022821,26,38,26,0.001522615853014709,-0.849805613696671,0.0045000163139868815,-1.3435396279311769,1.0,140988,8.596170794201182e-07,none,0.0,0.0,random27,0.5,FEM,SFI,-1.4132303555204333,405.73067969991826,1.0,1.0,0.0
Classic-frozen,12,True,28.069399300031364,32.873149599996395,0.2505990999052301,27.794921400141902,1,24,0,0.0026367037405743195,-0.8431272935302744,0.004345490045545401,-1.3378219286943491,1.0,114,3.8941866817097084e-16,none,0.03755082277437003,0.5875479094905813,random27,0.5,Classic,frozen,-1.407460406042821,60.94254890002776,1.5146317185339981,54.235148111344365,0.7505462369198792
Classic-SFI,12,True,56.769529299926944,32.873149599996395,7.829267900204286,48.85138640017249,30,42,30,0.002676959812222798,-0.8429454802237056,0.004342022133644432,-1.337998689475724,1.0,114,8.433435574123859e-16,none,0.03823758998729823,0.5947839196102921,random27,0.5,Classic,SFI,-1.407432149311669,89.64267889992334,7.136167421076612,45.898159927647214,0.7581321033289792
Affine-frozen,12,True,28.375101499957964,50.882851500064135,0.4915686999447644,27.870422400184907,1,24,0,0.0015486302312321743,-0.8495292855923917,0.004492403663320692,-1.3425257734864702,1.0,1026,4.526949240589248e-15,none,0.0020754810188709388,0.05553369410128783,random27,0.5,Affine,frozen,-1.4130020907120302,79.2579530000221,1.49831367123344,27.64878907354544,0.028158295506249598
