method,time,watercut,recovery,mass,budget_mass,raw_mass,min_s,max_s,raw_min_s_before_limiter,raw_max_s_before_limiter,raw_below_zero_before_limiter,raw_above_one_before_limiter,picard_iterations,limiter_mass_residual
FEM,0.0,0.0,0.037191006593722646,0.21737535948165973,0.21737535948165973,0.21737535948165973,0.2,1.0,0.2,1.0,0,0,0,0.0
FEM,0.4,0.00041479736866002553,-0.002367060132391655,0.18743379175299768,0.18743379175299774,0.18743379175299768,0.0,1.0,-4.764310543925193,3.30861580279972,565,17,3,0.0
FEM,0.8,0.00041479736866002553,-0.002367060132391655,0.18743379175299768,0.15749222402433571,0.18743379175299768,0.0,1.0,-4.764310543925193,3.30861580279972,565,17,3,0.0
FEM,1.2000000000000002,0.00041479736866002553,-0.002367060132391655,0.18743379175299768,0.1275506562956737,0.18743379175299768,0.0,1.0,-4.764310543925193,3.30861580279972,565,17,3,0.0
FEM,1.6,0.00041479736866002553,-0.002367060132391655,0.18743379175299768,0.09760908856701168,0.18743379175299768,0.0,1.0,-4.764310543925193,3.30861580279972,565,17,3,0.0
FEM,2.0,0.00041479736866002553,-0.002367060132391655,0.18743379175299768,0.06766752083834968,0.18743379175299768,0.0,1.0,-4.764310543925193,3.30861580279972,565,17,3,0.0
FEM,2.4000000000000004,0.00041479736866002553,-0.002367060132391655,0.18743379175299768,0.03772595310968767,0.18743379175299768,0.0,1.0,-4.764310543925193,3.30861580279972,565,17,3,0.0
FEM,2.8000000000000003,0.00041479736866002553,-0.002367060132391655,0.18743379175299768,0.00778438538102566,0.18743379175299768,0.0,1.0,-4.764310543925193,3.30861580279972,565,17,3,0.0
FEM,3.2,0.00041479736866002553,-0.002367060132391655,0.18743379175299768,-0.022157182347636348,0.18743379175299768,0.0,1.0,-4.764310543925193,3.30861580279972,565,17,3,0.0
FEM,3.6,0.00041479736866002553,-0.002367060132391655,0.18743379175299768,-0.052098750076298356,0.18743379175299768,0.0,1.0,-4.764310543925193,3.30861580279972,565,17,3,0.0
FEM,4.0,0.00041479736866002553,-0.002367060132391655,0.18743379175299768,-0.08204031780496036,0.18743379175299768,0.0,1.0,-4.764310543925193,3.30861580279972,565,17,3,0.0
Classic-DDPNM-1,0.0,0.0,0.037191006593722646,0.21737535948165973,0.21737535948165973,0.21737535948165973,0.2,1.0,0.2,1.0,0,0,0,0.0
Classic-DDPNM-1,0.4,0.003660804282557882,-0.0008771645289201536,0.18856149625961172,0.1885614962596117,0.1885614962596117,0.0,1.0,-2.6750346466957318,3.267678057553362,540,16,3,2.7755575615628914e-17
Classic-DDPNM-1,0.8,0.003660804282557882,-0.0008771645289201536,0.18856149625961172,0.15974763303756365,0.1885614962596117,0.0,1.0,-2.6750346466957318,3.267678057553362,540,16,3,2.7755575615628914e-17
Classic-DDPNM-1,1.2000000000000002,0.003660804282557882,-0.0008771645289201536,0.18856149625961172,0.1309337698155156,0.1885614962596117,0.0,1.0,-2.6750346466957318,3.267678057553362,540,16,3,2.7755575615628914e-17
Classic-DDPNM-1,1.6,0.003660804282557882,-0.0008771645289201536,0.18856149625961172,0.10211990659346758,0.1885614962596117,0.0,1.0,-2.6750346466957318,3.267678057553362,540,16,3,2.7755575615628914e-17
Classic-DDPNM-1,2.0,0.003660804282557882,-0.0008771645289201536,0.18856149625961172,0.07330604337141955,0.1885614962596117,0.0,1.0,-2.6750346466957318,3.267678057553362,540,16,3,2.7755575615628914e-17
Classic-DDPNM-1,2.4000000000000004,0.003660804282557882,-0.0008771645289201536,0.18856149625961172,0.04449218014937152,0.1885614962596117,0.0,1.0,-2.6750346466957318,3.267678057553362,540,16,3,2.7755575615628914e-17
Classic-DDPNM-1,2.8000000000000003,0.003660804282557882,-0.0008771645289201536,0.18856149625961172,0.01567831692732349,0.1885614962596117,0.0,1.0,-2.6750346466957318,3.267678057553362,540,16,3,2.7755575615628914e-17
Classic-DDPNM-1,3.2,0.003660804282557882,-0.0008771645289201536,0.18856149625961172,-0.013135546294724541,0.1885614962596117,0.0,1.0,-2.6750346466957318,3.267678057553362,540,16,3,2.7755575615628914e-17
Classic-DDPNM-1,3.6,0.003660804282557882,-0.0008771645289201536,0.18856149625961172,-0.041949409516772576,0.1885614962596117,0.0,1.0,-2.6750346466957318,3.267678057553362,540,16,3,2.7755575615628914e-17
Classic-DDPNM-1,4.0,0.003660804282557882,-0.0008771645289201536,0.18856149625961172,-0.0707632727388206,0.1885614962596117,0.0,1.0,-2.6750346466957318,3.267678057553362,540,16,3,2.7755575615628914e-17
NormalLinear-DDPNM-3,0.0,0.0,0.037191006593722646,0.21737535948165973,0.21737535948165973,0.21737535948165973,0.2,1.0,0.2,1.0,0,0,0,0.0
NormalLinear-DDPNM-3,0.4,2.3433192659552476e-07,-0.001351844422304278,0.18820221024405387,0.18820221024405387,0.18820221024405384,0.0,1.0,-5.394845150932445,10.377520937640366,557,18,3,-2.7755575615628914e-17
NormalLinear-DDPNM-3,0.8,2.3433192659552476e-07,-0.001351844422304278,0.18820221024405387,0.159029061006448,0.18820221024405384,0.0,1.0,-5.394845150932445,10.377520937640366,557,18,3,-2.7755575615628914e-17
NormalLinear-DDPNM-3,1.2000000000000002,2.3433192659552476e-07,-0.001351844422304278,0.18820221024405387,0.12985591176884215,0.18820221024405384,0.0,1.0,-5.394845150932445,10.377520937640366,557,18,3,-2.7755575615628914e-17
NormalLinear-DDPNM-3,1.6,2.3433192659552476e-07,-0.001351844422304278,0.18820221024405387,0.1006827625312363,0.18820221024405384,0.0,1.0,-5.394845150932445,10.377520937640366,557,18,3,-2.7755575615628914e-17
NormalLinear-DDPNM-3,2.0,2.3433192659552476e-07,-0.001351844422304278,0.18820221024405387,0.07150961329363045,0.18820221024405384,0.0,1.0,-5.394845150932445,10.377520937640366,557,18,3,-2.7755575615628914e-17
NormalLinear-DDPNM-3,2.4000000000000004,2.3433192659552476e-07,-0.001351844422304278,0.18820221024405387,0.042336464056024606,0.18820221024405384,0.0,1.0,-5.394845150932445,10.377520937640366,557,18,3,-2.7755575615628914e-17
NormalLinear-DDPNM-3,2.8000000000000003,2.3433192659552476e-07,-0.001351844422304278,0.18820221024405387,0.013163314818418755,0.18820221024405384,0.0,1.0,-5.394845150932445,10.377520937640366,557,18,3,-2.7755575615628914e-17
NormalLinear-DDPNM-3,3.2,2.3433192659552476e-07,-0.001351844422304278,0.18820221024405387,-0.016009834419187095,0.18820221024405384,0.0,1.0,-5.394845150932445,10.377520937640366,557,18,3,-2.7755575615628914e-17
NormalLinear-DDPNM-3,3.6,2.3433192659552476e-07,-0.001351844422304278,0.18820221024405387,-0.04518298365679295,0.18820221024405384,0.0,1.0,-5.394845150932445,10.377520937640366,557,18,3,-2.7755575615628914e-17
NormalLinear-DDPNM-3,4.0,2.3433192659552476e-07,-0.001351844422304278,0.18820221024405387,-0.0743561328943988,0.18820221024405384,0.0,1.0,-5.394845150932445,10.377520937640366,557,18,3,-2.7755575615628914e-17
Affine-DDPNM-9,0.0,0.0,0.037191006593722646,0.21737535948165973,0.21737535948165973,0.21737535948165973,0.2,1.0,0.2,1.0,0,0,0,0.0
Affine-DDPNM-9,0.4,0.0,-0.0021856358313628154,0.18757111211383556,0.18757111211383562,0.1875711121138356,0.0,1.0,-2.248411230398245,1.800104710792176,544,12,3,0.0
Affine-DDPNM-9,0.8,0.0,-0.0021856358313628154,0.18757111211383556,0.1577668647460115,0.1875711121138356,0.0,1.0,-2.248411230398245,1.800104710792176,544,12,3,0.0
Affine-DDPNM-9,1.2000000000000002,0.0,-0.0021856358313628154,0.18757111211383556,0.1279626173781874,0.1875711121138356,0.0,1.0,-2.248411230398245,1.800104710792176,544,12,3,0.0
Affine-DDPNM-9,1.6,0.0,-0.0021856358313628154,0.18757111211383556,0.09815837001036329,0.1875711121138356,0.0,1.0,-2.248411230398245,1.800104710792176,544,12,3,0.0
