family,eps,theta,draw,dR,dPVI,r_over_125pvi,field_rel_l2,front_dev
reference,0.0,0.0,0,0.00000000e+00,0.00000000e+00,0.9999999614,0.000000e+00,0.000000e+00
coherent,0.03,1.0,0,8.62500177e-03,6.90000000e-03,0.9999999685,6.850296e-02,1.911385e-01
coherent,0.065,1.0,0,1.86875027e-02,1.49500000e-02,0.9999999727,1.051651e-01,4.146829e-01
coherent,0.15,1.0,0,4.31250052e-02,3.45000000e-02,0.9999999822,1.667523e-01,9.607367e-01
coherent,0.3,1.0,0,8.62500076e-02,6.90000000e-02,0.9999999908,2.469290e-01,1.923240e+00
coherent,0.65,1.0,0,1.50697259e-01,1.49500000e-01,0.9237359638,3.444538e-01,3.716596e+00
structure,0.065,0.0,0,-1.51162633e-04,0.00000000e+00,0.9994741784,1.094516e-01,-8.139094e-01
structure,0.065,0.0,1,-3.14669986e-05,0.00000000e+00,0.9998905110,1.009842e-01,5.100112e-01
structure,0.065,0.0,2,-8.07814748e-05,0.00000000e+00,0.9997189824,8.561059e-02,-3.445116e-01
structure,0.065,0.0,3,-1.72734850e-04,0.00000000e+00,0.9993991446,1.082594e-01,-7.715013e-01
structure,0.065,0.0,4,-6.03125506e-05,0.00000000e+00,0.9997901786,8.349253e-02,-6.184844e-01
structure,0.065,0.0,5,-2.06514273e-04,0.00000000e+00,0.9992816509,1.050979e-01,-1.397513e-01
structure,0.065,0.0,6,-2.47116653e-05,0.00000000e+00,0.9999140078,1.011549e-01,-6.028728e-01
structure,0.065,0.0,7,-1.83305414e-04,0.00000000e+00,0.9993623774,1.081362e-01,1.106166e-02
structure,0.065,0.0,8,-2.37237701e-04,0.00000000e+00,0.9991747868,9.602275e-02,-8.396561e-01
structure,0.065,0.0,9,-1.66765973e-04,0.00000000e+00,0.9994199059,1.031233e-01,3.704514e-03
structure,0.065,0.0,10,-7.57728635e-05,0.00000000e+00,0.9997364036,8.493173e-02,-3.391467e-01
structure,0.065,0.0,11,-2.32121125e-04,0.00000000e+00,0.9991925836,9.094256e-02,-3.354313e-01
structure,0.6532,0.0,0,-2.70316725e-02,0.00000000e+00,0.9059767526,3.880292e-01,-5.886236e+00
structure,0.6532,0.0,1,-3.44913435e-02,0.00000000e+00,0.8800300710,4.527871e-01,-5.924182e+00
structure,0.6532,0.0,2,-1.34342422e-02,0.00000000e+00,0.9532721625,4.782710e-01,-5.926444e+00
structure,0.6532,0.0,3,-2.02319518e-02,0.00000000e+00,0.9296279552,4.569425e-01,-5.924151e+00
structure,0.6532,0.0,4,-8.34006293e-03,0.00000000e+00,0.9709910469,4.122105e-01,-5.886913e+00
structure,0.6532,0.0,5,-3.67795260e-02,0.00000000e+00,0.8720711753,3.973485e-01,-5.925269e+00
structure,0.6532,0.0,6,-3.01157529e-02,0.00000000e+00,0.8952495167,4.612222e-01,-5.925323e+00
structure,0.6532,0.0,7,-3.71969707e-02,0.00000000e+00,0.8706191936,4.754360e-01,-5.925313e+00
structure,0.6532,0.0,8,-2.41195252e-02,0.00000000e+00,0.9161059608,4.773592e-01,-5.888269e+00
structure,0.6532,0.0,9,-1.24645079e-02,0.00000000e+00,0.9566451514,4.499775e-01,-5.928394e+00
structure,0.6532,0.0,10,-3.66212101e-02,0.00000000e+00,0.8726218395,4.807911e-01,-5.925407e+00
structure,0.6532,0.0,11,-5.07961546e-02,0.00000000e+00,0.8233176847,3.944700e-01,-5.928052e+00
mixed,0.0651,0.45,0,8.26156107e-03,6.73785000e-03,0.9994567408,1.059367e-01,-3.518410e-02
mixed,0.0651,0.45,1,8.25953000e-03,6.73785000e-03,0.9994498773,1.085556e-01,-3.709313e-01
mixed,0.0651,0.45,2,8.27987717e-03,6.73785000e-03,0.9995186358,9.253758e-02,7.184207e-03
mixed,0.0651,0.45,3,8.32090885e-03,6.73785000e-03,0.9996572927,1.117041e-01,-1.909117e-01
mixed,0.0651,0.45,4,8.23758743e-03,6.73785000e-03,0.9993757275,8.528849e-02,-3.354174e-01
mixed,0.0651,0.45,5,8.27906027e-03,6.73785000e-03,0.9995158752,8.925954e-02,-8.133649e-01
mixed,0.0651,0.45,6,8.41912984e-03,6.73785000e-03,0.9999892075,1.152219e-01,-3.536730e-01
mixed,0.0651,0.45,7,8.39353029e-03,6.73785000e-03,0.9999026998,9.802085e-02,1.085970e-02
mixed,0.3075,0.45,0,2.67891813e-02,3.18262500e-02,0.9602984276,3.208266e-01,-3.332807e+00
mixed,0.3075,0.45,1,1.70728685e-02,3.18262500e-02,0.9306106088,3.542066e-01,-5.554698e+00
mixed,0.3075,0.45,2,3.02388356e-02,3.18262500e-02,0.9708387130,2.849884e-01,-4.424473e+00
mixed,0.3075,0.45,3,2.81171269e-02,3.18262500e-02,0.9643559140,3.467580e-01,-5.548994e+00
mixed,0.3075,0.45,4,2.85317077e-02,3.18262500e-02,0.9656226498,2.659116e-01,-4.073683e+00
mixed,0.3075,0.45,5,2.79382806e-02,3.18262500e-02,0.9638094562,2.688334e-01,-5.173130e+00
mixed,0.3075,0.45,6,3.07955919e-02,3.18262500e-02,0.9725398605,2.632409e-01,-4.796774e+00
mixed,0.3075,0.45,7,1.49785870e-02,3.18262500e-02,0.9242116125,3.497034e-01,-5.178696e+00
mixed,0.6532,0.45,0,4.24673434e-02,6.76062000e-02,0.8869904790,3.945718e-01,-5.560544e+00
mixed,0.6532,0.45,1,4.18703752e-02,6.76062000e-02,0.8853857590,4.649529e-01,-5.914917e+00
mixed,0.6532,0.45,2,2.56654113e-02,6.76062000e-02,0.8418249356,4.379312e-01,-5.919575e+00
mixed,0.6532,0.45,3,4.15508318e-02,6.76062000e-02,0.8845267894,3.546980e-01,-5.918054e+00
mixed,0.6532,0.45,4,2.98323074e-02,6.76062000e-02,0.8530260359,3.684823e-01,-5.608884e+00
mixed,0.6532,0.45,5,5.07185485e-02,6.76062000e-02,0.9091706757,4.154628e-01,-4.810659e+00
mixed,0.6532,0.45,6,4.43228355e-02,6.76062000e-02,0.8919782568,4.023985e-01,-5.560666e+00
mixed,0.6532,0.45,7,2.83125939e-02,6.76062000e-02,0.8489408696,4.315157e-01,-5.914988e+00
