method,time,watercut,recovery,mass,budget_mass,raw_mass,boundary_water_net_outflow,water_inflow_rate,water_outflow_rate,pore_volumes_injected,mass_balance_absolute_residual,mass_balance_relative_residual,cumulative_budget_residual,min_s,max_s,raw_min_s_before_limiter,raw_max_s_before_limiter,raw_below_lower_bound_before_limiter,raw_above_upper_bound_before_limiter,picard_iterations,picard_converged,limiter_mass_residual
FEM,0.0,0.0,7.333997485867926e-17,0.18922542357774103,0.18922542357774103,0.18922542357774103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0,0,0,True,0.0
FEM,0.1,1.0023678654235595e-18,0.0009616801890113841,0.18995332094218897,0.18995332094218906,0.189953320942189,-0.007278973644480306,0.007278973644480301,2.5221530885315204e-20,0.0007693441512091343,-8.153200337090993e-17,1.1201030166215294e-13,-8.326672684688674e-17,0.2,0.5214474073332229,0.14948366109698857,1.1858567504959603,1656,1,6,False,2.7755575615628914e-17
FEM,0.2,4.058862833504112e-18,0.001923360378022695,0.19068121830663692,0.1906812183066371,0.19068121830663698,-0.007278973644480306,0.007278973644480301,5.73330700242653e-20,0.0015386883024182687,-8.153200337090993e-17,1.1201030166215294e-13,-1.6653345369377348e-16,0.2,0.6294056196254851,0.16231902736116538,0.9887192163461708,1653,1,6,False,2.7755575615628914e-17
FEM,0.30000000000000004,9.180595154136641e-18,0.0028850405670341524,0.19140911567108498,0.19140911567108512,0.19140911567108498,-0.007278973644480306,0.007278973644480301,1.0155065483225094e-19,0.002308032453627403,2.949029909160572e-17,4.051436443098981e-14,-1.3877787807814457e-16,0.2,0.685330171839969,0.17261667521534138,0.8596108703501445,1650,2,6,False,0.0
FEM,0.4,1.6211292958157756e-17,0.0038467207560455366,0.192137013035533,0.19213701303553316,0.192137013035533,-0.007278973644480306,0.007278973644480301,1.564577845306789e-19,0.0030773766048365373,-2.6020852139652106e-17,3.574796861558072e-14,-1.6653345369377348e-16,0.2,0.7195934619006491,0.17843250673394612,0.9399316765627144,1629,1,6,False,0.0
FEM,0.5,2.4793075207250578e-17,0.0048084009450569945,0.19286491039998105,0.1928649103999812,0.192864910399981,-0.007278973644480306,0.007278973644480301,2.1977950707870685e-19,0.003846720756045672,2.949029909160572e-17,4.051436443098981e-14,-1.3877787807814457e-16,0.2,0.7421595708631197,0.18052763994813786,0.9583744145926453,1605,1,6,False,0.0
FEM,0.6,3.443195379577608e-17,0.005770081134068305,0.193592807764429,0.19359280776442922,0.19359280776442903,-0.007278973644480306,0.007278973644480301,2.883396374816269e-19,0.0046160649072548065,-8.153200337090993e-17,1.1201030166215294e-13,-2.220446049250313e-16,0.2,0.7578078947742276,0.18287928693301575,0.965717560505268,1580,1,6,False,0.0
FEM,0.7,4.451525039496526e-17,0.006731761323079616,0.19432070512887695,0.19432070512887725,0.194320705128877,-0.007278973644480306,0.007278973644480301,3.5850854712049425e-19,0.005385409058463941,-8.153200337090993e-17,1.1201030166215294e-13,-3.0531133177191805e-16,0.2,0.7688015071358657,0.1853454964676672,0.9631046358327711,1556,3,6,False,2.7755575615628914e-17
FEM,0.7999999999999999,5.448833810049065e-17,0.007693441512090964,0.19504860249332492,0.19504860249332528,0.19504860249332495,-0.007278973644480306,0.007278973644480301,4.2629568429816235e-19,0.0061547532096730756,-5.377642775528102e-17,7.387913513886683e-14,-3.608224830031759e-16,0.2,0.7771017571022287,0.18764064058652014,0.9515183063700673,1522,5,6,True,2.7755575615628914e-17
FEM,0.8999999999999999,6.383713053835856e-17,0.008655121701102384,0.19577649985777296,0.19577649985777332,0.19577649985777296,-0.007278973644480305,0.007278973644480301,4.88562757721394e-19,0.00692409736088221,1.8431436932253575e-18,2.53214777693696e-15,-3.608224830031759e-16,0.2,0.7834888491358114,0.1889611876307495,0.9309180683352402,1476,9,6,True,0.0
FEM,0.9999999999999999,7.20458217618042e-17,0.009616801890113769,0.19650439722222096,0.19650439722222135,0.19650439722222096,-0.007278973644480305,0.007278973644480301,5.4273237544146445e-19,0.007693441512091345,-2.5912431922403556e-17,3.5599018746349135e-14,-3.885780586188048e-16,0.2,0.7881221996222324,0.1902123462761231,0.9032238344661355,1392,10,6,True,5.551115123125783e-17
FEM,1.0999999999999999,7.879912634438812e-17,0.010578482079125153,0.19723229458666897,0.19723229458666938,0.19723229458666897,-0.007278973644480305,0.007278973644480301,5.867368678219765e-19,0.00846278566330048,-2.5912431922403556e-17,3.5599018746349135e-14,-4.163336342344337e-16,0.2,0.7915548633181854,0.19117224157704346,0.8731487687155283,1236,12,6,True,0.0
FEM,1.2,8.414427616386885e-17,0.011540162268136464,0.19796019195111692,0.19796019195111741,0.19796019195111694,-0.007278973644480305,0.007278973644480301,6.219320510449994e-19,0.009232129814509613,-8.142358315366138e-17,1.1186135179292134e-13,-4.996003610813204e-16,0.2,0.7937407044412397,0.19155507703837749,0.8736016629981475,1142,12,6,True,2.7755575615628914e-17
FEM,1.3,8.890970697220236e-17,0.012501842457147774,0.19868808931556486,0.19868808931556545,0.19868808931556492,-0.007278973644480305,0.007278973644480301,6.530457280368005e-19,0.010001473965718747,-8.142358315366138e-17,1.1186135179292134e-13,-5.828670879282072e-16,0.2,0.7956056166261145,0.19194858865103612,0.8734982478791701,1077,14,6,True,0.0
