metric,value
same_parent_mesh_object,True
quadrature_degree,6
maximum_global_to_local_dof_coordinate_mismatch,1.5700924586837752e-16
velocity_absolute_l2,4.5093634321137855e-05
velocity_reference_l2,0.0008723309981709913
velocity_relative_l2,0.051693261406146614
velocity_relative_broken_h1_seminorm,0.09545004077500366
pressure_raw_absolute_l2,0.0018998255531035074
pressure_raw_relative_l2,0.003463119183208312
pressure_mean_difference_ddpnm_minus_fem,0.0008217223821736344
pressure_reference_mean,0.6329718130636047
pressure_mean_aligned_relative_l2,0.00862361580721847
ddpnm_broken_divergence_l2,0.0005880013862022151
fem_divergence_l2,0.0005854111260906212
ddpnm_outlet_flux,0.0005024995177376703
fem_outlet_flux,0.0004979128662602891
outlet_flux_relative_error,0.009211755285278258
ddpnm_relative_mass_imbalance,8.130369750291542e-08
fem_relative_mass_imbalance,8.194690795208018e-08
