case,pore_voxels,mixed_dofs,active_boundary_dofs,eliminated_interior_dofs,pressure_boundary_dofs,pressure_eliminated_dofs,gmres_iterations,preconditioner,schur_residual,velocity_l2_rel,pressure_l2_rel,converged
real_3d_berea_16_r6_exact_schur,1304,42532,3976,16616,274,1830,4,exact_schur_lu_validation,1.3926076030984447e-15,1.2920424182737967e-09,1.3842492588305805e-14,True
aggressive_t025_none_scaled,1304,42532,405,20187,0,2104,27,none,7.927447568817351e-11,2.3437297227903722e-11,1.3061831213753828e-14,True
t0p30_p075_min50_none_scaled,1304,42532,679,19913,274,1830,701,none,0.008676479853033494,0.0002245558648183541,5.308396516238276e-12,True
t0p30_p0p30_min100_none_scaled,1304,42532,505,20087,100,2004,1842,none,2.0617665307219455e-06,4.5136025754394764e-07,1.2845357928233029e-14,True
t0p30_p0p30_min200_none_scaled,1304,42532,605,19987,200,1904,1804,none,0.004916627528637626,0.0002726494139726396,5.980517251585893e-12,True
t0p30_p0p30_min50_none_scaled,1304,42532,455,20137,50,2054,153,none,2.1045598649750372e-06,6.311402149928859e-07,7.215890400017618e-15,True
t0p30_p0p30_min55_none_scaled,1304,42532,460,20132,55,2049,237,none,1.5168779528312988e-06,5.424036904345305e-07,2.355556498575596e-14,True
t0p30_p0p30_min60_none_scaled,1304,42532,465,20127,60,2044,395,none,1.690594465922478e-06,5.70868263687008e-07,1.4215413775402137e-14,True
t0p35_p075_min50_none_scaled,1304,42532,679,19913,274,1830,701,none,0.008676479853033494,0.0002245558648183541,5.308396516238276e-12,True
t0p35_p0p35_min50_none_scaled,1304,42532,455,20137,50,2054,153,none,2.1045598649750372e-06,6.311402149928859e-07,7.215890400017618e-15,True
t0p40_p075_min50_none_scaled,1304,42532,679,19913,274,1830,701,none,0.008676479853033494,0.0002245558648183541,5.308396516238276e-12,True
t0p40_p0p40_min50_none_scaled,1304,42532,455,20137,50,2054,153,none,2.1045598649750372e-06,6.311402149928859e-07,7.215890400017618e-15,True
t0p45_p075_min50_none_scaled,1304,42532,679,19913,274,1830,701,none,0.008676479853033494,0.0002245558648183541,5.308396516238276e-12,True
t0p45_p0p45_min50_none_scaled,1304,42532,455,20137,50,2054,153,none,2.1045598649750372e-06,6.311402149928859e-07,7.215890400017618e-15,True
