step,mean_S2,mean_injected_saturation,saturation_mass,mass_before,mass_after_graph_transport,mass_after_boundary_flux,mass_after_clipping,mass_error,mass_error_abs,mass_balance_residual,mass_balance_residual_abs,mass_residual,relative_mass_error,graph_transport_mass_change,boundary_flux_mass_change,clipping_mass_change,inlet_reset_mass_change,inlet_boundary_flux_mass,outlet_boundary_flux_mass,inlet_flux_mass,outlet_flux_mass,net_flux_mass,expected_mass_after,dt,max_cfl,stable_dt,cfl_number,max_water_cfl,max_inlet_flux_cfl,max_outlet_flux_cfl,max_outgoing_flux,max_outgoing_water_flux,saturation_min,saturation_max,saturation_effective_min,saturation_effective_max,assemble_time_seconds,full_stokes_solve_time_seconds,hoddpnm_schur_solve_time_seconds,total_time_seconds,velocity_error,pressure_error,velocity_l2_rel_difference_vs_full_discrete,pressure_l2_rel_difference_vs_full_discrete,pressure_l2_rel_mean_aligned_difference_vs_full_discrete,pressure_min,pressure_max,schur_solver,schur_preconditioner,dense_schur_used,schur_iterations,schur_relative_residual,mixed_dofs,velocity_dofs,pressure_dofs,hoddpnm_interface_dofs,hoddpnm_active_schur_dofs,hoddpnm_active_dof_ratio,hoddpnm_known_fixed_dofs,hoddpnm_free_interior_dofs_eliminated,hoddpnm_eliminated_dofs,pressure_boundary_dofs,pressure_interior_dofs_eliminated
1,0.05660602880000001,0.05660602880000001,6.3170312499999985,5.957031249999998,5.957031249999998,6.3170312499999985,6.3170312499999985,0.0,0.0,0.0,0.0,3.3306690738754696e-16,5.272522712113337e-17,0.0,0.36,0.0,0.0,0.36,0.0,0.36,0.0,0.36,6.3170312499999985,0.08,0.110592,0.3616898148148149,0.110592,0.0,0.0884736,0.0,0.44999999999999996,0.0,0.05,0.1384736,0.0,0.0,0.08127030000105151,0.028606500000023516,0.003782100000535138,0.11365890000161016,6.920815698772336e-09,5.3645405677706416e-09,6.920815698772336e-09,4.988343323956298e-09,5.3645405677706416e-09,-8983487154.827656,24674502739.03711,gmres,ilu,False,7,3.0385333933671806e-08,2288,2163,125,874,31,0.013548951048951048,2146,111,111,31,94
2,0.06321205760000001,0.06321205760000001,6.677031249999999,6.3170312499999985,6.3170312499999985,6.677031249999999,6.677031249999999,0.0,0.0,0.0,0.0,3.3306690738754696e-16,4.9882484433114944e-17,0.0,0.36,0.0,0.0,0.36,0.0,0.36,0.0,0.36,6.677031249999999,0.08,0.110592,0.3616898148148149,0.110592,0.0,0.0884736,0.0,0.44999999999999996,0.0,0.05,0.22694720000000002,0.0,0.044912,0.06657119999727001,0.027481400000397116,0.003225899999961257,0.09727849999762839,6.920815698772336e-09,5.3645405677706416e-09,6.920815698772336e-09,4.988343323956298e-09,5.3645405677706416e-09,-8983487154.827656,24674502739.03711,gmres,ilu,False,7,3.0385333933671806e-08,2288,2163,125,874,31,0.013548951048951048,2146,111,111,31,94
3,0.06980196156992732,0.06980196156992732,7.037031249999998,6.677031249999999,6.677031249999999,7.037031249999999,7.037031249999998,0.0,0.0,0.0,0.0,-5.551115123125783e-16,-7.888433241113977e-17,-6.735605996566196e-18,0.36,-8.881784197001252e-16,0.0,0.36,0.0,0.36,0.0,0.36,7.037031249999998,0.08,0.110592,0.3616898148148149,0.110592,0.0012093622554550248,0.0884736,0.0,0.44999999999999996,0.0024604538074849947,0.05,0.3148161188722725,0.0,0.19136019812045413,0.06774370000130148,0.028979400001844624,0.003095800002483884,0.09981890000562998,6.920815698772336e-09,5.3645405677706416e-09,6.920815698772336e-09,4.988343323956298e-09,5.3645405677706416e-09,-8983487154.827656,24674502739.03711,gmres,ilu,False,7,3.0385333933671806e-08,2288,2163,125,874,31,0.013548951048951048,2146,111,111,31,94
4,0.07608804910636993,0.07608804910636993,7.397031249999999,7.037031249999998,7.037031249999998,7.397031249999999,7.397031249999999,0.0,0.0,0.0,0.0,3.3306690738754696e-16,4.502710562261678e-17,-7.37257477290143e-18,0.36,0.0,0.0,0.36,0.0,0.36,0.0,0.36,7.397031249999999,0.08,0.110592,0.3616898148148149,0.110592,0.023946439394706198,0.0884736,0.0,0.44999999999999996,0.048719155669568276,0.05,0.3911936107446767,0.0,0.3186560179077944,0.06796140000005835,0.03011020000121789,0.0034981999997398816,0.10156980000101612,6.920815698772336e-09,5.3645405677706416e-09,6.920815698772336e-09,4.988343323956298e-09,5.3645405677706416e-09,-8983487154.827656,24674502739.03711,gmres,ilu,False,7,3.0385333933671806e-08,2288,2163,125,874,31,0.013548951048951048,2146,111,111,31,94
5,0.08196411144966419,0.08196411144966419,7.757031249999999,7.397031249999999,7.397031249999999,7.757031249999999,7.757031249999999,0.0,0.0,0.0,0.0,3.3306690738754696e-16,4.2937419826373265e-17,-2.5153490401663703e-17,0.36,0.0,0.0,0.36,0.0,0.36,0.0,0.36,7.757031249999999,0.08,0.110592,0.3616898148148149,0.110592,0.052389547564101746,0.0884736,0.0,0.44999999999999996,0.10658680738139188,0.05,0.45078240521750823,0.0,0.41797067536251364,0.06558600000062142,0.028338200001599034,0.0033402000008209143,0.09726440000304137,6.920815698772336e-09,5.3645405677706416e-09,6.920815698772336e-09,4.988343323956298e-09,5.3645405677706416e-09,-8983487154.827656,24674502739.03711,gmres,ilu,False,7,3.0385333933671806e-08,2288,2163,125,874,31,0.013548951048951048,2146,111,111,31,94
6,0.08751208186879905,0.08751208186879905,8.11703125,7.757031249999999,7.757031249999999,8.117031249999998,8.11703125,0.0,0.0,0.0,0.0,1.2212453270876722e-15,1.504546784993186e-16,-4.597017211338539e-17,0.36,1.7763568394002505e-15,0.0,0.36,0.0,0.36,0.0,0.36,8.11703125,0.08,0.110592,0.3616898148148149,0.110592,0.06731220769367115,0.0884736,0.0,0.44999999999999996,0.136947037137189,0.05,0.49941216762025126,0.0,0.4990202793670853,0.06831419999798527,0.028316699997958494,0.0036663999999291264,0.10029729999587289,6.920815698772336e-09,5.3645405677706416e-09,6.920815698772336e-09,4.988343323956298e-09,5.3645405677706416e-09,-8983487154.827656,24674502739.03711,gmres,ilu,False,7,3.0385333933671806e-08,2288,2163,125,874,31,0.013548951048951048,2146,111,111,31,94
7,0.09275388672795147,0.09275388672795147,8.477031250000003,8.11703125,8.11703125,8.47703125,8.477031250000003,0.0,0.0,0.0,0.0,2.9976021664879227e-15,3.5361461791094866e-16,2.3418766925686896e-17,0.36,3.552713678800501e-15,0.0,0.36,0.0,0.36,0.0,0.36,8.477031250000003,0.08,0.110592,0.3616898148148149,0.110592,0.07493247013510435,0.0884736,0.0,0.44999999999999996,0.15245050076315173,0.05,0.5418661190977909,0.0,0.5697768651629848,0.06684590000077151,0.027764000002207467,0.003131299999949988,0.09774120000292896,6.920815698772336e-09,5.3645405677706416e-09,6.920815698772336e-09,4.988343323956298e-09,5.3645405677706416e-09,-8983487154.827656,24674502739.03711,gmres,ilu,False,7,3.0385333933671806e-08,2288,2163,125,874,31,0.013548951048951048,2146,111,111,31,94
8,0.09771847520923554,0.09771847520923554,8.837031250000003,8.477031250000003,8.477031250000003,8.837031250000003,8.837031250000003,0.0,0.0,0.0,0.0,-5.551115123125783e-16,-6.281651570628746e-17,-5.0306980803327406e-17,0.36,0.0,0.0,0.36,0.0,0.36,0.0,0.36,8.837031250000003,0.08,0.110592,0.3616898148148149,0.110592,0.07930233568030604,0.0884736,0.0,0.44999999999999996,0.16134101497458095,0.05,0.5807035815039582,0.0,0.6345059691732635,0.06875090000175987,0.027938700000959216,0.003247600001486717,0.0999372000042058,6.920815698772336e-09,5.3645405677706416e-09,6.920815698772336e-09,4.988343323956298e-09,5.3645405677706416e-09,-8983487154.827656,24674502739.03711,gmres,ilu,False,7,3.0385333933671806e-08,2288,2163,125,874,31,0.013548951048951048,2146,111,111,31,94
9,0.1024506647767711,0.1024506647767711,9.197031250000002,8.837031250000003,8.837031250000003,9.197031250000002,9.197031250000002,0.0,0.0,0.0,0.0,-5.551115123125783e-16,-6.035768469445813e-17,4.85722573273506e-17,0.36,0.0,0.0,0.36,0.0,0.36,0.0,0.36,9.197031250000002,0.08,0.110592,0.3616898148148149,0.110592,0.0820341539995208,0.0884736,0.0,0.44999999999999996,0.1668989135732438,0.05,0.6173223681130428,0.0,0.6955372801884044,0.06981380000070203,0.03004690000307164,0.0031536999995296355,0.10301440000330331,6.920815698772336e-09,5.3645405677706416e-09,6.920815698772336e-09,4.988343323956298e-09,5.3645405677706416e-09,-8983487154.827656,24674502739.03711,gmres,ilu,False,7,3.0385333933671806e-08,2288,2163,125,874,31,0.013548951048951048,2146,111,111,31,94
10,0.10699172821239326,0.10699172821239326,9.557031250000003,9.197031250000002,9.197031250000002,9.557031250000001,9.557031250000003,0.0,0.0,0.0,0.0,1.2212453270876722e-15,1.2778500929226026e-16,1.0408340855860843e-17,0.36,1.7763568394002505e-15,0.0,0.36,0.0,0.36,0.0,0.36,9.557031250000003,0.08,0.110592,0.3616898148148149,0.110592,0.08384349211597796,0.0884736,0.0,0.44999999999999996,0.1705800213948119,0.05,0.6525408540572338,0.0,0.7542347567620562,0.06493520000003628,0.02776829999857,0.00312340000164113,0.0958269000002474,6.920815698772336e-09,5.3645405677706416e-09,6.920815698772336e-09,4.988343323956298e-09,5.3645405677706416e-09,-8983487154.827656,24674502739.03711,gmres,ilu,False,7,3.0385333933671806e-08,2288,2163,125,874,31,0.013548951048951048,2146,111,111,31,94
