method,time,outlet_concentration,mass,budget_mass,raw_mass,mass_rate,transport_rate,dirichlet_source_rate,mass_balance_residual_rate,mass_balance_relative_residual,limiter_mass_change_abs,limiter_mass_residual,min_c,max_c,raw_min_c_before_limiter,raw_max_c_before_limiter,raw_below_zero_before_limiter,raw_above_one_before_limiter
FEM,0.0,0.0,88.99999999999999,88.99999999999999,88.99999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0
FEM,0.2,1.1240377837651522e-05,117.46033879349845,117.4603387934984,117.46033879349845,142.30169396749233,-154.81658990304743,-12.51489593555539,3.0708900073702254e-15,9.917832479365878e-18,5.0191098351892265,-1.4210854715202004e-14,0.0,1.0,-0.10376639286923153,1.0,788,0
FEM,0.4,0.00011360009119186304,146.15375821241685,146.15375821241673,146.15375821241688,143.4670970945921,-153.80714479208405,-10.340047697492412,1.509667827404039e-14,4.9076648209184315e-17,3.1497918604909785,2.842170943040401e-14,0.0,1.0,-0.07663056362583917,1.0,725,0
FEM,0.6000000000000001,0.0005945473160022168,174.89240435831027,174.89240435831016,174.89240435831033,143.69323072946742,-152.18699871132716,-8.493767981860099,1.5560590715139683e-14,5.1123259039543375e-17,2.3943027545762456,0.0,0.0,1.0,-0.06916855406710731,1.0,691,0
FEM,0.8,0.0021304072909635193,203.46678251661746,203.4667825166172,203.46678251661746,142.87189079153592,-149.86490117190806,-6.9930103803728585,7.0673667539106005e-15,2.3579125928237525e-17,2.057422474698484,0.0,0.0,1.0,-0.061859880836784197,1.0,659,0
FEM,1.0,0.005877537530837103,231.67078086118966,231.67078086118931,231.67078086118968,141.01999172286114,-146.80888187107573,-5.788890148215156,1.1670819430925678e-14,3.974834247826609e-17,1.8655283377064218,2.842170943040401e-14,0.0,1.0,-0.05475054248085091,1.0,626,0
FEM,1.2000000000000002,0.013325133819195612,259.3079642211343,259.30796422113394,259.3079642211344,138.1859167997237,-143.00836832698297,-4.822451527259884,-1.5354239715026023e-14,5.368301133231283e-17,1.8403081214825083,0.0,0.0,1.0,-0.04810559154970821,1.0,558,0
FEM,1.4000000000000001,0.02598550594839051,286.2005808719551,286.2005808719546,286.20058087195514,134.46308325410428,-138.51151242941205,-4.0484291753087,-2.542824944638168e-15,9.179110458179528e-18,1.824752574165927,0.0,0.0,1.0,-0.05215506932951627,1.0,552,0
FEM,1.6,0.044957849225984295,312.1953280716026,312.195328071602,312.19532807160266,129.97373599823788,-133.39849397527516,-3.4247579770383454,1.2280415345183973e-14,4.602906291978096e-17,1.793911955949909,-5.684341886080802e-14,0.0,1.0,-0.059704498694931434,1.0054748919960863,529,1
FEM,1.8,0.07080464430872165,337.1627780727962,337.1627780727954,337.16277807279624,124.8372500059682,-127.75699976580432,-2.9197497598371784,2.2504579807812195e-14,8.807572128754592e-17,1.7066208723931604,0.0,0.0,1.0,-0.06374593239627696,1.0182741988223423,511,2
FEM,2.0,0.10355591436017504,361.0015886077513,361.0015886077503,361.0015886077513,119.19405267477543,-121.7020102235181,-2.5079575487435233,-4.614181039194912e-14,1.8956880953406126e-16,1.6195807561396125,-5.684341886080802e-14,0.0,1.0,-0.06872109668567912,1.0210996237182544,520,5
FEM,2.2,0.14210718773373024,383.6374970502385,383.63749705023736,383.63749705023855,113.17954221243639,-115.35111383119694,-2.1715716187616456,-6.566025994242614e-14,2.846104288100419e-16,1.4408535746909479,0.0,0.0,1.0,-0.07274033989265069,1.0232344317516242,495,13
FEM,2.4000000000000004,0.18488947948435208,405.0329717863586,405.03297178635734,405.0329717863587,106.97737368060103,-108.87139320013199,-1.8940195195320222,-3.12235772342855e-14,1.433966091390456e-16,1.1549138305179567,0.0,0.0,1.0,-0.07495968300752628,1.027382145821288,456,24
FEM,2.6,0.2301893360815031,425.183852683296,425.1838526832947,425.18385268329615,100.75440448468783,-102.4152801079927,-1.6608756233060493,-2.2779915845809697e-14,1.1121346258970867e-16,0.7710943612552807,5.684341886080802e-14,0.0,1.0,-0.0760133141428805,1.0562633711617684,433,33
FEM,2.8000000000000003,0.2762237850097512,444.11261897233425,444.1126189723327,444.1126189723343,94.64383144519161,-96.1055265177226,-1.4616950725323536,-2.296935664106951e-14,1.195007065323846e-16,0.4743976413836306,-5.684341886080802e-14,0.0,1.0,-0.0753568799370648,1.0675188322624236,416,44
FEM,3.0,0.32139290127436754,461.8671888562941,461.86718885629233,461.8671888562941,88.77284941979923,-90.06538970328904,-1.2925402834908986,-4.3909803745899266e-14,2.437662452278019e-16,0.16805943928954792,-1.1368683772161603e-13,0.0,1.0,-0.07299188781522528,1.070440616589509,402,55
FEM,3.2,0.3643970555484868,478.51821691367195,478.51821691366996,478.518216913672,83.25514028688957,-84.40791258825321,-1.152772301365025,-8.319528963479927e-14,4.928168881549655e-16,0.12198060227092311,0.0,0.00014774714897851677,1.0,-0.06980735799054229,1.0702448639002158,399,67
